DLC;Errors;Burst;Undetected_Errors
2;7;25;0
2;7;26;0
2;7;27;0
2;7;28;0
2;7;29;0
2;7;30;0
2;8;8;0
2;8;9;0
2;8;10;0
2;8;11;0
2;8;12;0
2;8;13;0
2;8;14;0
2;8;15;0
2;8;16;794
2;8;17;858
2;8;18;696
2;8;19;701
2;8;20;738
2;8;21;738
2;8;22;715
2;8;23;688
2;8;24;646
2;8;25;591
2;8;26;622
2;8;27;646
2;8;28;618
2;8;29;632
2;8;30;623
2;9;9;0
2;9;10;0
2;9;11;0
2;9;12;0
2;9;13;0
2;9;14;0
2;9;15;0
2;9;16;0
2;9;17;0
2;9;18;0
2;9;19;0
2;9;20;0
2;9;21;0
2;9;22;0
2;9;23;0
2;9;24;0
2;9;25;0
2;9;26;0
2;9;27;0
2;9;28;0
2;9;29;0
2;9;30;0
2;10;10;0
2;10;11;0
2;10;12;0
2;10;13;0
2;10;14;0
2;10;15;0
2;10;16;0
2;10;17;530
2;10;18;739
2;10;19;756
2;10;20;718
2;10;21;699
2;10;22;709
2;10;23;686
2;10;24;702
2;10;25;635
2;10;26;634
2;10;27;634
2;10;28;622
2;10;29;613
2;10;30;621
2;11;11;0
2;11;12;0
2;11;13;0
2;11;14;0
2;11;15;0
2;11;16;0
2;11;17;0
2;11;18;0
2;11;19;0
2;11;20;0
2;11;21;0
2;11;22;0
2;11;23;0
2;11;24;0
2;11;25;0
2;11;26;0
2;11;27;0
2;11;28;0
2;11;29;0
2;11;30;0
2;12;12;0
2;12;13;0
2;12;14;0
2;12;15;0
2;12;16;0
2;12;17;0
2;12;18;0
2;12;19;0
2;12;20;161
2;12;21;378
2;12;22;462
2;12;23;487
2;12;24;526
2;12;25;622
2;12;26;608
2;12;27;595
2;12;28;611
2;12;29;598
2;12;30;621
2;13;13;0
2;13;14;0
2;13;15;0
2;13;16;0
2;13;17;0
2;13;18;0
2;13;19;0
2;13;20;0
2;13;21;0
2;13;22;0
2;13;23;0
2;13;24;0
2;13;25;0
2;13;26;0
2;13;27;0
2;13;28;0
2;13;29;0
2;13;30;0
2;14;14;0
2;14;15;0
2;14;16;0
2;14;17;0
2;14;18;3231
2;14;19;2568
2;14;20;1528
2;14;21;972
2;14;22;765
2;14;23;761
2;14;24;700
2;14;25;658
2;14;26;626
2;14;27;608
2;14;28;579
2;14;29;652
2;14;30;612
2;15;15;0
2;15;16;0
2;15;17;0
2;15;18;0
2;15;19;0
2;15;20;0
2;15;21;0
2;15;22;0
2;15;23;0
2;15;24;0
2;15;25;0
2;15;26;0
2;15;27;0
2;15;28;0
2;15;29;0
2;15;30;0
2;16;16;0
2;16;17;0
2;16;18;0
2;16;19;0
2;16;20;0
2;16;21;507
2;16;22;419
2;16;23;433
2;16;24;435
2;16;25;580
2;16;26;609
2;16;27;561
2;16;28;564
2;16;29;596
2;16;30;614
3;1;2;0
3;1;3;0
3;1;4;0
3;1;5;0
3;1;6;0
3;1;7;0
3;1;8;0
3;1;9;0
3;1;10;0
3;1;11;0
3;1;12;0
3;1;13;0
3;1;14;0
3;1;15;0
3;1;16;0
3;1;17;0
3;1;18;0
3;1;19;0
3;1;20;0
3;1;21;0
3;1;22;0
3;1;23;0
3;1;24;0
3;1;25;0
3;1;26;0
3;1;27;0
3;1;28;0
3;1;29;0
3;1;30;0
3;2;2;0
3;2;3;0
3;2;4;0
3;2;5;0
3;2;6;0
3;2;7;0
3;2;8;0
3;2;9;0
3;2;10;0
3;2;11;0
3;2;12;0
3;2;13;0
3;2;14;0
3;2;15;0
3;2;16;0
3;2;17;0
3;2;18;0
3;2;19;0
3;2;20;0
3;2;21;0
3;2;22;0
3;2;23;0
3;2;24;0
3;2;25;0
3;2;26;0
3;2;27;0
3;2;28;0
3;2;29;0
3;2;30;0
3;3;3;0
3;3;4;0
3;3;5;0
3;3;6;0
3;3;7;0
3;3;8;0
3;3;9;0
3;3;10;0
3;3;11;0
3;3;12;0
3;3;13;0
3;3;14;0
3;3;15;0
3;3;16;0
3;3;17;0
3;3;18;0
3;3;19;0
3;3;20;0
3;3;21;0
3;3;22;0
3;3;23;0
3;3;24;0
3;3;25;0
3;3;26;0
3;3;27;0
3;3;28;0
3;3;29;0
3;3;30;0
3;4;4;0
3;4;5;0
3;4;6;0
3;4;7;0
3;4;8;0
3;4;9;0
3;4;10;0
3;4;11;0
3;4;12;0
3;4;13;0
3;4;14;0
3;4;15;0
3;4;16;0
3;4;17;0
3;4;18;0
3;4;19;0
3;4;20;0
3;4;21;0
3;4;22;0
3;4;23;0
3;4;24;0
3;4;25;0
3;4;26;0
3;4;27;0
3;4;28;0
3;4;29;0
3;4;30;0
3;5;5;0
3;5;6;0
3;5;7;0
3;5;8;0
3;5;9;0
3;5;10;0
3;5;11;0
3;5;12;0
3;5;13;0
3;5;14;0
3;5;15;0
3;5;16;0
3;5;17;0
3;5;18;0
3;5;19;0
3;5;20;0
3;5;21;0
3;5;22;0
3;5;23;0
3;5;24;0
3;5;25;0
3;5;26;0
3;5;27;0
3;5;28;0
3;5;29;0
3;5;30;0
3;6;6;0
3;6;7;0
3;6;8;0
3;6;9;0
3;6;10;0
3;6;11;0
3;6;12;0
3;6;13;0
3;6;14;0
3;6;15;0
3;6;16;0
3;6;17;0
3;6;18;0
3;6;19;0
3;6;20;0
3;6;21;0
3;6;22;0
3;6;23;93
3;6;24;232
3;6;25;284
3;6;26;363
3;6;27;374
3;6;28;423
3;6;29;473
3;6;30;531
3;7;7;0
3;7;8;0
3;7;9;0
3;7;10;0
3;7;11;0
3;7;12;0
3;7;13;0
3;7;14;0
3;7;15;0
3;7;16;0
3;7;17;0
3;7;18;0
3;7;19;0
3;7;20;0
3;7;21;0
3;7;22;0
3;7;23;0
3;7;24;0
3;7;25;0
3;7;26;0
3;7;27;0
3;7;28;0
3;7;29;0
3;7;30;0
3;8;8;0
3;8;9;0
3;8;10;0
3;8;11;0
3;8;12;0
3;8;13;0
3;8;14;0
3;8;15;0
3;8;16;768
3;8;17;856
3;8;18;665
3;8;19;620
3;8;20;717
3;8;21;738
3;8;22;669
3;8;23;620
3;8;24;640
3;8;25;617
3;8;26;615
3;8;27;628
3;8;28;623
3;8;29;620
3;8;30;662
3;9;9;0
3;9;10;0
3;9;11;0
3;9;12;0
3;9;13;0
3;9;14;0
3;9;15;0
3;9;16;0
3;9;17;0
3;9;18;0
3;9;19;0
3;9;20;0
3;9;21;0
3;9;22;0
3;9;23;0
3;9;24;0
3;9;25;0
3;9;26;0
3;9;27;0
3;9;28;0
3;9;29;0
3;9;30;0
3;10;10;0
3;10;11;0
3;10;12;0
3;10;13;0
3;10;14;0
3;10;15;0
3;10;16;0
3;10;17;495
3;10;18;706
3;10;19;724
3;10;20;839
3;10;21;691
3;10;22;673
3;10;23;676
3;10;24;734
3;10;25;666
3;10;26;658
3;10;27;685
3;10;28;633
3;10;29;612
3;10;30;575
3;11;11;0
3;11;12;0
3;11;13;0
3;11;14;0
3;11;15;0
3;11;16;0
3;11;17;0
3;11;18;0
3;11;19;0
3;11;20;0
3;11;21;0
3;11;22;0
3;11;23;0
3;11;24;0
3;11;25;0
3;11;26;0
3;11;27;0
3;11;28;0
3;11;29;0
3;11;30;0
3;12;12;0
3;12;13;0
3;12;14;0
3;12;15;0
3;12;16;0
3;12;17;0
3;12;18;0
3;12;19;0
3;12;20;152
3;12;21;378
3;12;22;444
3;12;23;523
3;12;24;533
3;12;25;542
3;12;26;585
3;12;27;570
3;12;28;584
3;12;29;585
3;12;30;579
3;13;13;0
3;13;14;0
3;13;15;0
3;13;16;0
3;13;17;0
3;13;18;0
3;13;19;0
3;13;20;0
3;13;21;0
3;13;22;0
